9, 16, 
b6nt,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
b6nt,e2nt,e2nt,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
n2nt,b2nt,b2nt,b3nt,0000,0000,0000,0000,0000,0000,0000,e1nt,0000,0000,0000,0000,
i2nt,i2nt,i3nt,b6nt,0000,0000,0000,0000,e1nt,0000,0000,0000,0000,0000,0000,b1nt,
i5nt,i5nt,i6nt,n2nt,b3nt,0000,e1nt,0000,0000,0000,0000,0000,0000,0000,0000,b4nt,
i5nt,i5nt,i5nt,i3nt,b6nt,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,b4nt,
i5nt,i5nt,i5nt,i6nt,b6nt,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,b4nt,
i5nt,i5nt,i5nt,i6nt,n2nt,b3nt,0000,0000,0000,0000,0000,0000,0000,0000,0000,b4nt,
i5nt,i8nt,i8nt,i8nt,i9nt,n2nt,b2nt,b3nt,0000,0000,0000,0000,0000,0000,0000,b4nt,
 
