11, 15, 
b6nt,b6nt,b6nt,b6nt,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
b6nt,b6nt,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
b6nt,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
b6nt,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
