10, 15, 
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,b2nt,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,b6nt,b2nt,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,b6nt,b2nt,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,b6nt,0000,0000,0000,0000,i3nt,i3nt,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,i3nt,i3nt,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,i3nt,i3nt,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
