10, 15, 
b1nt,b3nt,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
b7nt,b9nt,b2nt,b2nt,b2nt,b2nt,b3nt,0000,0000,0000,0000,0000,0000,0000,0000,
b1nt,b3nt,b8nt,b8nt,b8nt,b8nt,b9nt,0000,0000,0000,0000,0000,0000,0000,0000,
b7nt,b9nt,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
