10, 15, 
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,b1nt,b2nt,b3nt,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,b6nt,i5nt,b4nt,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,b6nt,i5nt,b4nt,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,b6nt,i5nt,b4nt,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,b6nt,i5nt,b4nt,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,b6nt,i5nt,b4nt,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,b7nt,b8nt,b9nt,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
